"year","region","category","Number of people","Percentage"
"1945","Mideast","Islam Ibadhi","0","0"
"1945","Mideast","Islam Nation of Islam","0","0"
"1945","Mideast","Islam Alawite","0","0"
"1945","Mideast","Islam Ahmadiyya","0","0"
"1945","Mideast","Islam Other","0","0"
"1945","Mideast","Islam Total","60,095,064","0.9214"
"1945","Mideast","Buddhism Mahayana","0","0"
"1945","Mideast","Buddhism Theravada","0","0"
"1945","Mideast","Buddhism Other","0","0"
"1945","Mideast","Buddhism Total","0","0"
"1945","Mideast","Zoroastrian Total","10,000","0.0002"
"1945","Mideast","Hindu Total","0","0"
"1945","Mideast","Sikh Total","0","0"
"1945","Mideast","Shinto Total","0","0"
"1945","Mideast","Baha’i Total","0","0"
"1945","Mideast","Taoism Total","0","0"
"1945","Mideast","Confucianism Total","0","0"
"1945","Mideast","Jain Total","0","0"
"1945","Mideast","Syncretic Religions Total","0","0"
"1945","Mideast","Animist Religions Total","0","0"
"1945","Mideast","Non. Religious Total","561","0"
"1945","Mideast","Other Religions Total","478,440","0.0073"
"1945","Mideast","Sum of Religion Adherents","65,218,439","1"
"1945","Mideast","Total Population","65,219,000","1"
"1945","Mideast","worldpop","1,617,000,000","0.0403"
"1945","West. Hem","Christianity Protestants","73,173,575","0.2529"
"1945","West. Hem","Christianity Roman Catholics","171,759,439","0.5936"
"1945","West. Hem","Christianity Eastern Orthodox","1,383,846","0.0048"
"1945","West. Hem","Christianity Anglican","3,537,777","0.0122"
"1945","West. Hem","Christianity Others","2,068,807","0.0071"
"1945","West. Hem","Christianity Total","251,923,444","0.8706"
"1945","West. Hem","Judaism Orthodox","856,827","0.003"
"1945","West. Hem","Judaism Conservatives","1,426,350","0.0049"
"1945","West. Hem","Judaism Reform","1,929,388","0.0067"
"1945","West. Hem","Judaism Others","994,719","0.0034"
"1945","West. Hem","Judaism Total","5,207,284","0.018"
"1945","West. Hem","Islam Sunni","0","0"
"1945","West. Hem","Islam Shi’a","0","0"
"1945","West. Hem","Islam Ibadhi","0","0"
"1945","West. Hem","Islam Nation of Islam","0","0"
"1945","West. Hem","Islam Alawite","0","0"
"1945","West. Hem","Islam Ahmadiyya","0","0"
"1945","West. Hem","Islam Other","0","0"
"1945","West. Hem","Islam Total","0","0"
"1945","West. Hem","Buddhism Mahayana","0","0"
"1945","West. Hem","Buddhism Theravada","0","0"
"1945","West. Hem","Buddhism Other","1,830,820","0.0063"
"1945","West. Hem","Buddhism Total","1,830,820","0.0063"
"1945","West. Hem","Zoroastrian Total","0","0"
"1945","West. Hem","Hindu Total","0","0"
"1945","West. Hem","Sikh Total","5,000","0"
"1945","West. Hem","Shinto Total","0","0"
"1945","West. Hem","Baha’i Total","0","0"
"1945","West. Hem","Taoism Total","0","0"
"1945","West. Hem","Confucianism Total","0","0"
"1945","West. Hem","Jain Total","0","0"
"1945","West. Hem","Syncretic Religions Total","5,500,000","0.019"
"1945","West. Hem","Animist Religions Total","228,125","0.0008"
"1945","West. Hem","Non. Religious Total","23,011,662","0.0795"
"1945","West. Hem","Other Religions Total","6,648,385","0.023"
"1945","West. Hem","Sum of Religion Adherents","271,343,058","0.9377"
"1945","West. Hem","Total Population","289,375,655","1.0172"
"1945","West. Hem","worldpop","1,617,000,000","0.179"
"1950","Africa","Christianity Protestants","3,302,860","0.098"
"1950","Africa","Christianity Roman Catholics","736,193","0.0218"
"1950","Africa","Christianity Eastern Orthodox","7,260,770","0.2154"
"1950","Africa","Christianity Anglican","609,769","0.0181"
"1950","Africa","Christianity Others","4,884,121","0.1449"
"1950","Africa","Christianity Total","16,793,713","0.4982"
"1950","Africa","Judaism Orthodox","0","0"
"1950","Africa","Judaism Conservatives","0","0"
"1950","Africa","Judaism Reform","0","0"
"1950","Africa","Judaism Others","97,006","0.0029"
"1950","Africa","Judaism Total","97,006","0.0029"
"1950","Africa","Islam Sunni","0","0"
"1950","Africa","Islam Shi’a","0","0"
"1950","Africa","Islam Ibadhi","0","0"
"1950","Africa","Islam Nation of Islam","0","0"
"1950","Africa","Islam Alawite","0","0"
"1950","Africa","Islam Ahmadiyya","0","0"
"1950","Africa","Islam Other","5,508,523","0.1634"
"1950","Africa","Islam Total","5,508,523","0.1634"
"1950","Africa","Buddhism Mahayana","0","0"
"1950","Africa","Buddhism Theravada","0","0"
"1950","Africa","Buddhism Other","194","0"
"1950","Africa","Buddhism Total","194","0"
"1950","Africa","Zoroastrian Total","0","0"
"1950","Africa","Hindu Total","195,524","0.0058"
"1950","Africa","Sikh Total","1,943","0.0001"
"1950","Africa","Shinto Total","0","0"
"1950","Africa","Baha’i Total","3,004","0.0001"
"1950","Africa","Taoism Total","0","0"
"1950","Africa","Confucianism Total","0","0"
"1950","Africa","Jain Total","0","0"
"1950","Africa","Syncretic Religions Total","973","0"
"1950","Africa","Animist Religions Total","11,084,152","0.3288"
"1950","Africa","Non. Religious Total","19,918","0.0006"
"1950","Africa","Other Religions Total","2,050","0.0001"
"1950","Africa","Sum of Religion Adherents","33,687,082","0.9994"
"1950","Africa","Total Population","33,707,000","1"
"1950","Africa","worldpop","2,231,000,000","0.0151"
"1950","Asia","Christianity Protestants","9,360,004","0.0072"
"1950","Asia","Christianity Roman Catholics","25,948,053","0.02"
"1950","Asia","Christianity Eastern Orthodox","1,051,829","0.0008"
"1950","Asia","Christianity Anglican","3,612,715","0.0028"
"1950","Asia","Christianity Others","5,190,796","0.004"
"1950","Asia","Christianity Total","45,163,397","0.0347"
"1950","Asia","Judaism Orthodox","0","0"
"1950","Asia","Judaism Conservatives","0","0"
"1950","Asia","Judaism Reform","0","0"
"1950","Asia","Judaism Others","54,754","0"
"1950","Asia","Judaism Total","54,754","0"
"1950","Asia","Islam Sunni","7,987,175","0.0061"
"1950","Asia","Islam Shi’a","923,000","0.0007"
"1950","Asia","Islam Ibadhi","0","0"
"1950","Asia","Islam Nation of Islam","0","0"
"1950","Asia","Islam Alawite","0","0"
"1950","Asia","Islam Ahmadiyya","0","0"
"1950","Asia","Islam Other","180,211,586","0.1386"
"1950","Asia","Islam Total","189,121,761","0.1455"
"1950","Asia","Buddhism Mahayana","0","0"
"1950","Asia","Buddhism Theravada","14,031,137","0.0108"
"1950","Asia","Buddhism Other","144,032,385","0.1108"
"1950","Asia","Buddhism Total","158,063,522","0.1216"
"1950","Asia","Zoroastrian Total","114,462","0.0001"
"1950","Asia","Hindu Total","301,106,975","0.2316"
"1950","Asia","Sikh Total","5,910,591","0.0045"
"1950","Asia","Shinto Total","65,452,839","0.0503"
"1950","Asia","Baha’i Total","453,734","0.0003"
"1950","Asia","Taoism Total","921,828","0.0007"
"1950","Asia","Confucianism Total","1,816,754","0.0014"
"1950","Asia","Jain Total","2,646,410","0.002"
"1950","Asia","Syncretic Religions Total","425,681,485","0.3274"
"1950","Asia","Animist Religions Total","76,081,638","0.0585"
"1950","Asia","Non. Religious Total","69,193,934","0.0532"
"1950","Asia","Other Religions Total","499,371","0.0004"
"1950","Asia","Sum of Religion Adherents","1,273,089,521","0.9791"
"1950","Asia","Total Population","1,300,208,016","1.0324"
"1950","Asia","worldpop","2,231,000,000","0.5828"
"1950","Europe","Christianity Protestants","40,293,475","0.0828"
"1950","Europe","Christianity Roman Catholics","182,146,023","0.3744"
"1950","Europe","Christianity Eastern Orthodox","91,004,796","0.1871"
"1950","Europe","Christianity Anglican","29,739,026","0.0611"
"1950","Europe","Christianity Others","4,534,844","0.0093"
"1950","Europe","Christianity Total","347,718,164","0.7147"
"1950","Europe","Judaism Orthodox","0","0"
"1950","Europe","Judaism Conservatives","0","0"
"1950","Europe","Judaism Reform","0","0"
"1950","Europe","Judaism Others","5,336,066","0.011"
"1950","Europe","Judaism Total","5,336,066","0.011"
"1950","Europe","Islam Sunni","0","0"
"1950","Europe","Islam Shi’a","0","0"
"1950","Europe","Islam Ibadhi","0","0"
"1950","Europe","Islam Nation of Islam","0","0"
"1950","Europe","Islam Alawite","0","0"
"1950","Europe","Islam Ahmadiyya","0","0"
"1950","Europe","Islam Other","30,109,208","0.0619"
"1950","Europe","Islam Total","30,109,208","0.0619"
"1950","Europe","Buddhism Mahayana","0","0"
"1950","Europe","Buddhism Theravada","0","0"
"1950","Europe","Buddhism Other","759,624","0.0016"
"1950","Europe","Buddhism Total","759,624","0.0016"
"1950","Europe","Zoroastrian Total","0","0"
"1950","Europe","Hindu Total","44,995","0.0001"
"1950","Europe","Sikh Total","10,022","0"
"1950","Europe","Shinto Total","0","0"
"1950","Europe","Baha’i Total","8,041","0"
"1950","Europe","Taoism Total","0","0"
"1950","Europe","Confucianism Total","500","0"
"1950","Europe","Jain Total","0","0"
"1950","Europe","Syncretic Religions Total","9,763","0"
"1950","Europe","Animist Religions Total","1,238,087","0.0025"
"1950","Europe","Non. Religious Total","100,773,236","0.2071"
"1950","Europe","Other Religions Total","512,294","0.0011"
"1950","Europe","Sum of Religion Adherents","385,746,764","0.7929"
"1950","Europe","Total Population","486,520,000","1"
"1950","Europe","worldpop","2,231,000,000","0.2181"
"1950","Mideast","Christianity Protestants","27,091","0.0003"
"1950","Mideast","Christianity Roman Catholics","946,089","0.0122"
"1950","Mideast","Christianity Eastern Orthodox","4,047,536","0.0521"
"1950","Mideast","Christianity Anglican","0","0"
"1950","Mideast","Christianity Others","93,138","0.0012"
"1950","Mideast","Christianity Total","5,113,854","0.0658"
"1950","Mideast","Judaism Orthodox","1,090,162","0.014"
"1950","Mideast","Judaism Conservatives","6,607","0.0001"
"1950","Mideast","Judaism Reform","4,404","0.0001"
"1950","Mideast","Judaism Others","529,038","0.0068"
"1950","Mideast","Judaism Total","1,630,211","0.021"
"1950","Mideast","Islam Sunni","48,934,129","0.6299"
"1950","Mideast","Islam Shi’a","20,021,082","0.2577"
"1950","Mideast","Islam Ibadhi","0","0"
"1950","Mideast","Islam Nation of Islam","0","0"
"1950","Mideast","Islam Alawite","387,994","0.005"
"1950","Mideast","Islam Ahmadiyya","0","0"
"1950","Mideast","Islam Other","17,600","0.0002"
"1950","Mideast","Islam Total","69,360,805","0.8929"
"1950","Mideast","Buddhism Mahayana","0","0"
"1950","Mideast","Buddhism Theravada","0","0"
"1950","Mideast","Buddhism Other","0","0"
"1950","Mideast","Buddhism Total","0","0"
"1950","Mideast","Zoroastrian Total","5,000","0.0001"
"1950","Mideast","Hindu Total","0","0"
"1950","Mideast","Sikh Total","0","0"
"1950","Mideast","Shinto Total","0","0"
"1950","Mideast","Baha’i Total","172,960","0.0022"
"1950","Mideast","Taoism Total","0","0"
"1950","Mideast","Confucianism Total","0","0"
"1950","Mideast","Jain Total","0","0"
"1950","Mideast","Syncretic Religions Total","0","0"
"1950","Mideast","Animist Religions Total","0","0"
"1950","Mideast","Non. Religious Total","0","0"
"1950","Mideast","Other Religions Total","1,400,170","0.018"
"1950","Mideast","Sum of Religion Adherents","77,683,000","1"
"1950","Mideast","Total Population","77,683,000","1"
"1950","Mideast","worldpop","2,231,000,000","0.0348"
"1950","West. Hem","Christianity Protestants","80,317,613","0.2491"
"1950","West. Hem","Christianity Roman Catholics","192,159,498","0.5959"
"1950","West. Hem","Christianity Eastern Orthodox","3,245,980","0.0101"
"1950","West. Hem","Christianity Anglican","4,346,034","0.0135"
"1950","West. Hem","Christianity Others","1,621,869","0.005"
"1950","West. Hem","Christianity Total","281,690,994","0.8736"
"1950","West. Hem","Judaism Orthodox","1,114,069","0.0035"
"1950","West. Hem","Judaism Conservatives","1,853,690","0.0057"
"1950","West. Hem","Judaism Reform","2,524,237","0.0078"
"1950","West. Hem","Judaism Others","1,088,261","0.0034"
"1950","West. Hem","Judaism Total","6,580,257","0.0204"
"1950","West. Hem","Islam Sunni","0","0"
"1950","West. Hem","Islam Shi’a","0","0"
"1950","West. Hem","Islam Ibadhi","0","0"
"1950","West. Hem","Islam Nation of Islam","0","0"
"1950","West. Hem","Islam Alawite","0","0"
"1950","West. Hem","Islam Ahmadiyya","0","0"
"1950","West. Hem","Islam Other","20,770","0.0001"
"1950","West. Hem","Islam Total","20,770","0.0001"
"1950","West. Hem","Buddhism Mahayana","0","0"
"1950","West. Hem","Buddhism Theravada","0","0"
"1950","West. Hem","Buddhism Other","188,562","0.0006"
"1950","West. Hem","Buddhism Total","188,562","0.0006"
"1950","West. Hem","Zoroastrian Total","0","0"
"1950","West. Hem","Hindu Total","2,006","0"
"1950","West. Hem","Sikh Total","10,001","0"
"1950","West. Hem","Shinto Total","0","0"
"1950","West. Hem","Baha’i Total","1,000","0"
"1950","West. Hem","Taoism Total","0","0"
"1950","West. Hem","Confucianism Total","0","0"
"1950","West. Hem","Jain Total","0","0"
"1950","West. Hem","Syncretic Religions Total","6,249,873","0.0194"
"1950","West. Hem","Animist Religions Total","450,003","0.0014"
"1950","West. Hem","Non. Religious Total","22,938,228","0.0711"
"1950","West. Hem","Other Religions Total","9,732,066","0.0302"
"1950","West. Hem","Sum of Religion Adherents","304,925,532","0.9456"
"1950","West. Hem","Total Population","322,455,008","1.0168"
"1950","West. Hem","worldpop","2,231,000,000","0.1445"
"1955","Africa","Christianity Protestants","4,014,921","0.115"
"1955","Africa","Christianity Roman Catholics","802,667","0.023"
"1955","Africa","Christianity Eastern Orthodox","7,272,036","0.2082"
"1955","Africa","Christianity Anglican","753,661","0.0216"
"1955","Africa","Christianity Others","6,094,033","0.1745"
"1955","Africa","Christianity Total","18,937,318","0.5422"
"1955","Africa","Judaism Orthodox","0","0"
"1955","Africa","Judaism Conservatives","0","0"
"1955","Africa","Judaism Reform","0","0"
"1955","Africa","Judaism Others","117,741","0.0034"
"1955","Africa","Judaism Total","117,741","0.0034"
"1955","Africa","Islam Sunni","0","0"
"1955","Africa","Islam Shi’a","0","0"
"1955","Africa","Islam Ibadhi","0","0"
"1955","Africa","Islam Nation of Islam","0","0"
"1955","Africa","Islam Alawite","0","0"
"1955","Africa","Islam Ahmadiyya","0","0"
"1955","Africa","Islam Other","6,002,686","0.1719"
"1955","Africa","Islam Total","6,002,686","0.1719"
"1955","Africa","Buddhism Mahayana","0","0"
"1955","Africa","Buddhism Theravada","0","0"
"1955","Africa","Buddhism Other","707","0"
"1955","Africa","Buddhism Total","707","0"
"1955","Africa","Zoroastrian Total","0","0"
"1955","Africa","Hindu Total","278,538","0.008"
"1955","Africa","Sikh Total","2,457","0.0001"
"1955","Africa","Shinto Total","0","0"
"1955","Africa","Baha’i Total","7,593","0.0002"
"1955","Africa","Taoism Total","0","0"
"1955","Africa","Confucianism Total","0","0"
"1955","Africa","Jain Total","0","0"
"1955","Africa","Syncretic Religions Total","1,139","0"
"1955","Africa","Animist Religions Total","9,419,390","0.2697"
"1955","Africa","Non. Religious Total","53,634","0.0015"
"1955","Africa","Other Religions Total","103,797","0.003"
"1955","Africa","Sum of Religion Adherents","34,871,366","0.9985"
"1955","Africa","Total Population","34,925,000","1"
"1955","Africa","worldpop","2,536,000,000","0.0138"
"1955","Asia","Christianity Protestants","12,638,476","0.0088"
"1955","Asia","Christianity Roman Catholics","34,806,115","0.0242"
"1955","Asia","Christianity Eastern Orthodox","1,254,956","0.0009"
"1955","Asia","Christianity Anglican","3,824,355","0.0027"
"1955","Asia","Christianity Others","6,443,511","0.0045"
"1955","Asia","Christianity Total","58,967,413","0.0411"
"1955","Asia","Judaism Orthodox","0","0"
"1955","Asia","Judaism Conservatives","0","0"
"1955","Asia","Judaism Reform","0","0"
"1955","Asia","Judaism Others","81,070","0.0001"
"1955","Asia","Judaism Total","81,070","0.0001"
"1955","Asia","Islam Sunni","8,658,503","0.006"
"1955","Asia","Islam Shi’a","1,000,000","0.0007"
"1955","Asia","Islam Ibadhi","0","0"
"1955","Asia","Islam Nation of Islam","0","0"
"1955","Asia","Islam Alawite","0","0"
"1955","Asia","Islam Ahmadiyya","0","0"
"1955","Asia","Islam Other","201,064,244","0.14"
"1955","Asia","Islam Total","210,722,747","0.1467"
"1955","Asia","Buddhism Mahayana","0","0"
"1955","Asia","Buddhism Theravada","33,522,360","0.0233"
"1955","Asia","Buddhism Other","144,441,261","0.1006"
"1955","Asia","Buddhism Total","177,963,621","0.1239"
"1955","Asia","Zoroastrian Total","126,582","0.0001"
"1955","Asia","Hindu Total","328,331,380","0.2286"
"1955","Asia","Sikh Total","6,342,714","0.0044"
"1955","Asia","Shinto Total","68,145,114","0.0474"
"1955","Asia","Baha’i Total","738,141","0.0005"
"1955","Asia","Taoism Total","1,182,738","0.0008"
"1955","Asia","Confucianism Total","1,619,287","0.0011"
"1955","Asia","Jain Total","2,785,120","0.0019"
"1955","Asia","Syncretic Religions Total","378,770,746","0.2637"
"1955","Asia","Animist Religions Total","82,851,650","0.0577"
"1955","Asia","Non. Religious Total","161,895,190","0.1127"
"1955","Asia","Other Religions Total","1,402,045","0.001"
"1955","Asia","Sum of Religion Adherents","1,320,030,368","0.9191"
"1955","Asia","Total Population","1,436,233,000","1.0318"
"1955","Asia","worldpop","2,536,000,000","0.5663"
"1955","Europe","Christianity Protestants","85,570,895","0.1417"
"1955","Europe","Christianity Roman Catholics","223,576,835","0.3703"
"1955","Europe","Christianity Eastern Orthodox","96,120,344","0.1592"
"1955","Europe","Christianity Anglican","29,306,649","0.0485"
"1955","Europe","Christianity Others","6,597,713","0.0109"
"1955","Europe","Christianity Total","441,172,436","0.7308"
"1955","Europe","Judaism Orthodox","0","0"
"1955","Europe","Judaism Conservatives","0","0"
"1955","Europe","Judaism Reform","0","0"
"1955","Europe","Judaism Others","5,178,671","0.0086"
"1955","Europe","Judaism Total","5,178,671","0.0086"
"1955","Europe","Islam Sunni","0","0"
"1955","Europe","Islam Shi’a","0","0"
"1955","Europe","Islam Ibadhi","0","0"
"1955","Europe","Islam Nation of Islam","0","0"
"1955","Europe","Islam Alawite","0","0"
"1955","Europe","Islam Ahmadiyya","0","0"
"1955","Europe","Islam Other","33,390,170","0.0553"
"1955","Europe","Islam Total","33,390,170","0.0553"
"1955","Europe","Buddhism Mahayana","0","0"
"1955","Europe","Buddhism Theravada","0","0"
"1955","Europe","Buddhism Other","806,776","0.0013"
"1955","Europe","Buddhism Total","806,776","0.0013"
"1955","Europe","Zoroastrian Total","0","0"
"1955","Europe","Hindu Total","93,684","0.0002"
"1955","Europe","Sikh Total","57,446","0.0001"
"1955","Europe","Shinto Total","0","0"
"1955","Europe","Baha’i Total","15,068","0"
"1955","Europe","Taoism Total","0","0"
"1955","Europe","Confucianism Total","1,375","0"
"1955","Europe","Jain Total","0","0"
"1955","Europe","Syncretic Religions Total","26,391","0"
"1955","Europe","Animist Religions Total","1,189,903","0.002"
"1955","Europe","Non. Religious Total","118,537,427","0.1963"
"1955","Europe","Other Religions Total","3,246,653","0.0054"
"1955","Europe","Sum of Religion Adherents","485,178,573","0.8037"
"1955","Europe","Total Population","603,716,000","1"
"1955","Europe","worldpop","2,536,000,000","0.2381"
"1955","Mideast","Christianity Protestants","32,782","0.0003"
"1955","Mideast","Christianity Roman Catholics","1,740,329","0.0169"
"1955","Mideast","Christianity Eastern Orthodox","3,202,941","0.0312"
"1955","Mideast","Christianity Anglican","0","0"
"1955","Mideast","Christianity Others","678,049","0.0066"
"1955","Mideast","Christianity Total","5,654,101","0.055"
"1955","Mideast","Judaism Orthodox","1,509,000","0.0147"
"1955","Mideast","Judaism Conservatives","9,001","0.0001"
"1955","Mideast","Judaism Reform","6,001","0.0001"
"1955","Mideast","Judaism Others","442,397","0.0043"
"1955","Mideast","Judaism Total","1,966,399","0.0191"
"1955","Mideast","Islam Sunni","70,224,037","0.6836"
"1955","Mideast","Islam Shi’a","23,256,503","0.2264"
"1955","Mideast","Islam Ibadhi","0","0"
"1955","Mideast","Islam Nation of Islam","0","0"
"1955","Mideast","Islam Alawite","445,582","0.0043"
"1955","Mideast","Islam Ahmadiyya","0","0"
"1955","Mideast","Islam Other","27,552","0.0003"
"1955","Mideast","Islam Total","93,953,674","0.9146"
"1955","Mideast","Buddhism Mahayana","0","0"
"1955","Mideast","Buddhism Theravada","0","0"
"1955","Mideast","Buddhism Other","0","0"
"1955","Mideast","Buddhism Total","0","0"
"1955","Mideast","Zoroastrian Total","14,180","0.0001"
"1955","Mideast","Hindu Total","0","0"
"1955","Mideast","Sikh Total","0","0"
"1955","Mideast","Shinto Total","0","0"
"1955","Mideast","Baha’i Total","0","0"
"1955","Mideast","Taoism Total","0","0"
"1955","Mideast","Confucianism Total","0","0"
"1955","Mideast","Jain Total","0","0"
"1955","Mideast","Syncretic Religions Total","5,588","0.0001"
"1955","Mideast","Animist Religions Total","0","0"
"1955","Mideast","Non. Religious Total","270","0"
"1955","Mideast","Other Religions Total","1,135,788","0.0111"
"1955","Mideast","Sum of Religion Adherents","102,729,730","1"
"1955","Mideast","Total Population","102,730,000","1"
"1955","Mideast","worldpop","2,536,000,000","0.0405"
"1955","West. Hem","Christianity Protestants","87,090,264","0.2431"
"1955","West. Hem","Christianity Roman Catholics","213,452,184","0.5959"
"1955","West. Hem","Christianity Eastern Orthodox","3,811,061","0.0106"
"1955","West. Hem","Christianity Anglican","4,292,907","0.012"
"1955","West. Hem","Christianity Others","2,624,418","0.0073"
"1955","West. Hem","Christianity Total","311,270,834","0.8689"
"1955","West. Hem","Judaism Orthodox","987,432","0.0028"
"1955","West. Hem","Judaism Conservatives","1,644,006","0.0046"
"1955","West. Hem","Judaism Reform","2,219,240","0.0062"
"1955","West. Hem","Judaism Others","791,645","0.0022"
