"year","country","category","Number of people","Percentage"
"1960","United States of America","Islam Sunni","0","0.0000"
"1960","United States of America","Islam Shi’a","0","0.0000"
"1960","United States of America","Islam Ibadhi","0","0.0000"
"1960","United States of America","Islam Nation of Islam","0","0.0000"
"1960","United States of America","Islam Alawite","0","0.0000"
"1960","United States of America","Islam Ahmadiyya","0","0.0000"
"1960","United States of America","Islam Other","0","0.0000"
"1960","United States of America","Islam Total","0","0.0000"
"1960","United States of America","Buddhism Mahayana","0","0.0000"
"1960","United States of America","Buddhism Theravada","0","0.0000"
"1960","United States of America","Buddhism Other","2012131","0.0111"
"1960","United States of America","Buddhism Total","2012131","0.0111"
"1960","United States of America","Zoroastrian Total","0","0.0000"
"1960","United States of America","Hindu Total","0","0.0000"
"1960","United States of America","Sikh Total","0","0.0000"
"1960","United States of America","Shinto Total","0","0.0000"
"1960","United States of America","Baha’i Total","0","0.0000"
"1960","United States of America","Taoism Total","0","0.0000"
"1960","United States of America","Confucianism Total","0","0.0000"
"1960","United States of America","Jain Total","0","0.0000"
"1960","United States of America","Syncretic Religions Total","0","0.0000"
"1960","United States of America","Animist Religions Total","0","0.0000"
"1960","United States of America","Non. Religious Total","21548225","0.1193"
"1960","United States of America","Other Religions Total","1376297","0.0076"
"1960","United States of America","Sum of Religion Adherents","179294703","0.9924"
"1960","United States of America","Total Population","180671000","0.9999"
"1965","United States of America","Christianity Protestants","94165803","0.4838"
"1965","United States of America","Christianity Roman Catholics","64761783","0.3327"
"1965","United States of America","Christianity Eastern Orthodox","4792868","0.0246"
"1965","United States of America","Christianity Anglican","2822149","0.0145"
"1965","United States of America","Christianity Others","973155","0.0050"
"1965","United States of America","Christianity Total","167515758","0.8607"
"1965","United States of America","Judaism Orthodox","991200","0.0051"
"1965","United States of America","Judaism Conservatives","1646400","0.0085"
"1965","United States of America","Judaism Reform","2296000","0.0118"
"1965","United States of America","Judaism Others","666400","0.0034"
"1965","United States of America","Judaism Total","5600000","0.0288"
"1965","United States of America","Islam Sunni","0","0.0000"
"1965","United States of America","Islam Shi’a","0","0.0000"
"1965","United States of America","Islam Ibadhi","0","0.0000"
"1965","United States of America","Islam Nation of Islam","0","0.0000"
"1965","United States of America","Islam Alawite","0","0.0000"
"1965","United States of America","Islam Ahmadiyya","0","0.0000"
"1965","United States of America","Islam Other","0","0.0000"
"1965","United States of America","Islam Total","0","0.0000"
"1965","United States of America","Buddhism Mahayana","0","0.0000"
"1965","United States of America","Buddhism Theravada","0","0.0000"
"1965","United States of America","Buddhism Other","1080892","0.0056"
"1965","United States of America","Buddhism Total","1080892","0.0056"
"1965","United States of America","Zoroastrian Total","0","0.0000"
"1965","United States of America","Hindu Total","0","0.0000"
"1965","United States of America","Sikh Total","0","0.0000"
"1965","United States of America","Shinto Total","0","0.0000"
"1965","United States of America","Baha’i Total","0","0.0000"
"1965","United States of America","Taoism Total","0","0.0000"
"1965","United States of America","Confucianism Total","0","0.0000"
"1965","United States of America","Jain Total","0","0.0000"
"1965","United States of America","Syncretic Religions Total","0","0.0000"
"1965","United States of America","Animist Religions Total","0","0.0000"
"1965","United States of America","Non. Religious Total","19852362","0.1020"
"1965","United States of America","Other Religions Total","581988","0.0030"
"1965","United States of America","Sum of Religion Adherents","194049012","0.9970"
"1965","United States of America","Total Population","194631000","1.0001"
"1970","United States of America","Christianity Protestants","93918347","0.4679"
"1970","United States of America","Christianity Roman Catholics","69119143","0.3444"
"1970","United States of America","Christianity Eastern Orthodox","5498914","0.0274"
"1970","United States of America","Christianity Anglican","3030647","0.0151"
"1970","United States of America","Christianity Others","1300000","0.0065"
"1970","United States of America","Christianity Total","172867051","0.8613"
"1970","United States of America","Judaism Orthodox","1088550","0.0054"
"1970","United States of America","Judaism Conservatives","1808100","0.0090"
"1970","United States of America","Judaism Reform","2521500","0.0126"
"1970","United States of America","Judaism Others","731850","0.0036"
"1970","United States of America","Judaism Total","6150000","0.0306"
"1970","United States of America","Islam Sunni","0","0.0000"
"1970","United States of America","Islam Shi’a","0","0.0000"
"1970","United States of America","Islam Ibadhi","0","0.0000"
"1970","United States of America","Islam Nation of Islam","0","0.0000"
"1970","United States of America","Islam Alawite","0","0.0000"
"1970","United States of America","Islam Ahmadiyya","0","0.0000"
"1970","United States of America","Islam Other","0","0.0000"
"1970","United States of America","Islam Total","0","0.0000"
"1970","United States of America","Buddhism Mahayana","0","0.0000"
"1970","United States of America","Buddhism Theravada","0","0.0000"
"1970","United States of America","Buddhism Other","1113861","0.0055"
"1970","United States of America","Buddhism Total","1113861","0.0055"
"1970","United States of America","Zoroastrian Total","0","0.0000"
"1970","United States of America","Hindu Total","0","0.0000"
"1970","United States of America","Sikh Total","0","0.0000"
"1970","United States of America","Shinto Total","0","0.0000"
"1970","United States of America","Baha’i Total","90247","0.0004"
"1970","United States of America","Taoism Total","0","0.0000"
"1970","United States of America","Confucianism Total","0","0.0000"
"1970","United States of America","Jain Total","0","0.0000"
"1970","United States of America","Syncretic Religions Total","0","0.0000"
"1970","United States of America","Animist Religions Total","0","0.0000"
"1970","United States of America","Non. Religious Total","20474592","0.1020"
"1970","United States of America","Other Religions Total","10249","0.0001"
"1970","United States of America","Sum of Religion Adherents","200695751","0.9999"
"1970","United States of America","Total Population","200706000","0.9999"
"1975","United States of America","Christianity Protestants","93578909","0.4334"
"1975","United States of America","Christianity Roman Catholics","77181399","0.3574"
"1975","United States of America","Christianity Eastern Orthodox","6651649","0.0308"
"1975","United States of America","Christianity Anglican","3239145","0.0150"
"1975","United States of America","Christianity Others","2159430","0.0100"
"1975","United States of America","Christianity Total","182810532","0.8466"
"1975","United States of America","Judaism Orthodox","1185900","0.0055"
"1975","United States of America","Judaism Conservatives","1969800","0.0091"
"1975","United States of America","Judaism Reform","2747000","0.0127"
"1975","United States of America","Judaism Others","797300","0.0037"
"1975","United States of America","Judaism Total","6700000","0.0310"
"1975","United States of America","Islam Sunni","0","0.0000"
"1975","United States of America","Islam Shi’a","0","0.0000"
"1975","United States of America","Islam Ibadhi","0","0.0000"
"1975","United States of America","Islam Nation of Islam","0","0.0000"
"1975","United States of America","Islam Alawite","0","0.0000"
"1975","United States of America","Islam Ahmadiyya","0","0.0000"
"1975","United States of America","Islam Other","0","0.0000"
"1975","United States of America","Islam Total","0","0.0000"
"1975","United States of America","Buddhism Mahayana","0","0.0000"
"1975","United States of America","Buddhism Theravada","0","0.0000"
"1975","United States of America","Buddhism Other","1019556","0.0047"
"1975","United States of America","Buddhism Total","1019556","0.0047"
"1975","United States of America","Zoroastrian Total","0","0.0000"
"1975","United States of America","Hindu Total","159778","0.0007"
"1975","United States of America","Sikh Total","1597","0.0000"
"1975","United States of America","Shinto Total","0","0.0000"
"1975","United States of America","Baha’i Total","220494","0.0010"
"1975","United States of America","Taoism Total","0","0.0000"
"1975","United States of America","Confucianism Total","0","0.0000"
"1975","United States of America","Jain Total","0","0.0000"
"1975","United States of America","Syncretic Religions Total","0","0.0000"
"1975","United States of America","Animist Religions Total","0","0.0000"
"1975","United States of America","Non. Religious Total","24789671","0.1148"
"1975","United States of America","Other Religions Total","241372","0.0011"
"1975","United States of America","Sum of Religion Adherents","215701628","0.9989"
"1975","United States of America","Total Population","215943000","0.9999"
"1980","United States of America","Christianity Protestants","101216516","0.4445"
"1980","United States of America","Christianity Roman Catholics","75149580","0.3300"
"1980","United States of America","Christianity Eastern Orthodox","4677202","0.0205"
"1980","United States of America","Christianity Anglican","3576566","0.0157"
"1980","United States of America","Christianity Others","2030000","0.0089"
"1980","United States of America","Christianity Total","186649864","0.8196"
"1980","United States of America","Judaism Orthodox","1284843","0.0056"
"1980","United States of America","Judaism Conservatives","2134146","0.0094"
"1980","United States of America","Judaism Reform","2976190","0.0131"
"1980","United States of America","Judaism Others","863821","0.0038"
"1980","United States of America","Judaism Total","7259000","0.0319"
"1980","United States of America","Islam Sunni","2407464","0.0106"
"1980","United States of America","Islam Shi’a","254121","0.0011"
"1980","United States of America","Islam Ibadhi","0","0.0000"
"1980","United States of America","Islam Nation of Islam","0","0.0000"
"1980","United States of America","Islam Alawite","0","0.0000"
"1980","United States of America","Islam Ahmadiyya","4975","0.0000"
"1980","United States of America","Islam Other","0","0.0000"
"1980","United States of America","Islam Total","2666560","0.0117"
"1980","United States of America","Buddhism Mahayana","0","0.0000"
"1980","United States of America","Buddhism Theravada","0","0.0000"
"1980","United States of America","Buddhism Other","1357967","0.0060"
"1980","United States of America","Buddhism Total","1357967","0.0060"
"1980","United States of America","Zoroastrian Total","0","0.0000"
"1980","United States of America","Hindu Total","995149","0.0044"
"1980","United States of America","Sikh Total","0","0.0000"
"1980","United States of America","Shinto Total","0","0.0000"
"1980","United States of America","Baha’i Total","0","0.0000"
"1980","United States of America","Taoism Total","89563","0.0004"
"1980","United States of America","Confucianism Total","0","0.0000"
"1980","United States of America","Jain Total","0","0.0000"
"1980","United States of America","Syncretic Religions Total","0","0.0000"
"1980","United States of America","Animist Religions Total","59708","0.0003"
"1980","United States of America","Non. Religious Total","26813635","0.1177"
"1980","United States of America","Other Religions Total","1834554","0.0081"
"1980","United States of America","Sum of Religion Adherents","225891446","0.9919"
"1980","United States of America","Total Population","227726000","1.0001"
"1985","United States of America","Christianity Protestants","107309700","0.4500"
"1985","United States of America","Christianity Roman Catholics","82463100","0.3458"
"1985","United States of America","Christianity Eastern Orthodox","5245662","0.0220"
"1985","United States of America","Christianity Anglican","3576990","0.0150"
"1985","United States of America","Christianity Others","1192330","0.0050"
"1985","United States of America","Christianity Total","199787782","0.8378"
"1985","United States of America","Judaism Orthodox","1352280","0.0057"
"1985","United States of America","Judaism Conservatives","2146160","0.0090"
"1985","United States of America","Judaism Reform","3132400","0.0131"
"1985","United States of America","Judaism Others","879160","0.0037"
"1985","United States of America","Judaism Total","7510000","0.0315"
"1985","United States of America","Islam Sunni","2186675","0.0092"
"1985","United States of America","Islam Shi’a","298183","0.0013"
"1985","United States of America","Islam Ibadhi","0","0.0000"
"1985","United States of America","Islam Nation of Islam","0","0.0000"
"1985","United States of America","Islam Alawite","0","0.0000"
"1985","United States of America","Islam Ahmadiyya","0","0.0000"
"1985","United States of America","Islam Other","0","0.0000"
"1985","United States of America","Islam Total","2484858","0.0104"
"1985","United States of America","Buddhism Mahayana","0","0.0000"
"1985","United States of America","Buddhism Theravada","0","0.0000"
"1985","United States of America","Buddhism Other","1984325","0.0083"
"1985","United States of America","Buddhism Total","1984325","0.0083"
"1985","United States of America","Zoroastrian Total","0","0.0000"
"1985","United States of America","Hindu Total","1005000","0.0042"
"1985","United States of America","Sikh Total","0","0.0000"
"1985","United States of America","Shinto Total","0","0.0000"
"1985","United States of America","Baha’i Total","0","0.0000"
"1985","United States of America","Taoism Total","0","0.0000"
"1985","United States of America","Confucianism Total","0","0.0000"
"1985","United States of America","Jain Total","0","0.0000"
"1985","United States of America","Syncretic Religions Total","0","0.0000"
"1985","United States of America","Animist Religions Total","0","0.0000"
"1985","United States of America","Non. Religious Total","25396899","0.1065"
"1985","United States of America","Other Religions Total","297136","0.0012"
"1985","United States of America","Sum of Religion Adherents","238168864","0.9988"
"1985","United States of America","Total Population","238466000","0.9999"
"1990","United States of America","Christianity Protestants","132040181","0.5284"
"1990","United States of America","Christianity Roman Catholics","65530789","0.2622"
"1990","United States of America","Christianity Eastern Orthodox","6715078","0.0269"
"1990","United States of America","Christianity Anglican","4334627","0.0173"
"1990","United States of America","Christianity Others","5804487","0.0232"
"1990","United States of America","Christianity Total","214425162","0.8580"
"1990","United States of America","Judaism Orthodox","975005","0.0039"
"1990","United States of America","Judaism Conservatives","1619500","0.0065"
"1990","United States of America","Judaism Reform","2258487","0.0090"
"1990","United States of America","Judaism Others","655512","0.0026"
"1990","United States of America","Judaism Total","5508504","0.0220"
"1990","United States of America","Islam Sunni","2019386","0.0081"
"1990","United States of America","Islam Shi’a","275371","0.0011"
"1990","United States of America","Islam Ibadhi","0","0.0000"
"1990","United States of America","Islam Nation of Islam","0","0.0000"
"1990","United States of America","Islam Alawite","0","0.0000"
"1990","United States of America","Islam Ahmadiyya","0","0.0000"
"1990","United States of America","Islam Other","0","0.0000"
"1990","United States of America","Islam Total","2294757","0.0092"
"1990","United States of America","Buddhism Mahayana","0","0.0000"
"1990","United States of America","Buddhism Theravada","0","0.0000"
"1990","United States of America","Buddhism Other","1575481","0.0063"
"1990","United States of America","Buddhism Total","1575481","0.0063"
"1990","United States of America","Zoroastrian Total","52301","0.0002"
"1990","United States of America","Hindu Total","323352","0.0013"
"1990","United States of America","Sikh Total","18517","0.0001"
"1990","United States of America","Shinto Total","59724","0.0002"
"1990","United States of America","Baha’i Total","887961","0.0036"
"1990","United States of America","Taoism Total","100408","0.0004"
"1990","United States of America","Confucianism Total","6410","0.0000"
"1990","United States of America","Jain Total","0","0.0000"
"1990","United States of America","Syncretic Religions Total","0","0.0000"
"1990","United States of America","Animist Religions Total","78345","0.0003"
"1990","United States of America","Non. Religious Total","24413914","0.0977"
"1990","United States of America","Other Religions Total","162164","0.0006"
"1990","United States of America","Sum of Religion Adherents","249744836","0.9994"
"1990","United States of America","Total Population","249907000","0.9999"
"1995","United States of America","Christianity Protestants","123669458","0.4707"
"1995","United States of America","Christianity Roman Catholics","70308695","0.2676"
"1995","United States of America","Christianity Eastern Orthodox","6639161","0.0253"
"1995","United States of America","Christianity Anglican","4476661","0.0170"
"1995","United States of America","Christianity Others","10500000","0.0400"
"1995","United States of America","Christianity Total","215593975","0.8205"
"1995","United States of America","Judaism Orthodox","930925","0.0035"
"1995","United States of America","Judaism Conservatives","1546282","0.0059"
"1995","United States of America","Judaism Reform","2156380","0.0082"
"1995","United States of America","Judaism Others","625876","0.0024"
"1995","United States of America","Judaism Total","5259463","0.0200"
"1995","United States of America","Islam Sunni","2134332","0.0081"
"1995","United States of America","Islam Shi’a","291045","0.0011"
"1995","United States of America","Islam Ibadhi","0","0.0000"
"1995","United States of America","Islam Nation of Islam","0","0.0000"
"1995","United States of America","Islam Alawite","0","0.0000"
"1995","United States of America","Islam Ahmadiyya","0","0.0000"
"1995","United States of America","Islam Other","0","0.0000"
"1995","United States of America","Islam Total","2425377","0.0092"
"1995","United States of America","Buddhism Mahayana","0","0.0000"
"1995","United States of America","Buddhism Theravada","0","0.0000"
"1995","United States of America","Buddhism Other","1608346","0.0061"
"1995","United States of America","Buddhism Total","1608346","0.0061"
"1995","United States of America","Zoroastrian Total","758150","0.0029"
"1995","United States of America","Hindu Total","574269","0.0022"
"1995","United States of America","Sikh Total","47402","0.0002"
"1995","United States of America","Shinto Total","57972","0.0002"
"1995","United States of America","Baha’i Total","672364","0.0026"
"1995","United States of America","Taoism Total","55771","0.0002"
"1995","United States of America","Confucianism Total","6684","0.0000"
"1995","United States of America","Jain Total","39248","0.0001"
"1995","United States of America","Syncretic Religions Total","270915","0.0010"
"1995","United States of America","Animist Religions Total","219079","0.0008"
"1995","United States of America","Non. Religious Total","34475517","0.1312"
"1995","United States of America","Other Religions Total","690468","0.0026"
"1995","United States of America","Sum of Religion Adherents","262064532","0.9974"
"1995","United States of America","Total Population","262755000","0.9998"
"2000","United States of America","Christianity Protestants","115298736","0.4142"
"2000","United States of America","Christianity Roman Catholics","75086601","0.2697"
"2000","United States of America","Christianity Eastern Orthodox","6563244","0.0236"
"2000","United States of America","Christianity Anglican","4618694","0.0166"
"2000","United States of America","Christianity Others","18251030","0.0656"
"2000","United States of America","Christianity Total","219818305","0.7897"
"2000","United States of America","Judaism Orthodox","886845","0.0032"
"2000","United States of America","Judaism Conservatives","1473065","0.0053"
"2000","United States of America","Judaism Reform","2054274","0.0074"
"2000","United States of America","Judaism Others","596240","0.0021"
"2000","United States of America","Judaism Total","5010424","0.0180"
"2000","United States of America","Islam Sunni","2249277","0.0081"
"2000","United States of America","Islam Shi’a","306720","0.0011"
"2000","United States of America","Islam Ibadhi","0","0.0000"
"2000","United States of America","Islam Nation of Islam","0","0.0000"
"2000","United States of America","Islam Alawite","0","0.0000"
"2000","United States of America","Islam Ahmadiyya","0","0.0000"
"2000","United States of America","Islam Other","0","0.0000"
"2000","United States of America","Islam Total","2555997","0.0092"
"2000","United States of America","Buddhism Mahayana","808358","0.0029"
"2000","United States of America","Buddhism Theravada","0","0.0000"
"2000","United States of America","Buddhism Other","1641211","0.0059"
"2000","United States of America","Buddhism Total","2449569","0.0088"
"2000","United States of America","Zoroastrian Total","1464000","0.0053"
"2000","United States of America","Hindu Total","825186","0.0030"
"2000","United States of America","Sikh Total","76286","0.0003"
"2000","United States of America","Shinto Total","56220","0.0002"
"2000","United States of America","Baha’i Total","456767","0.0016"
"2000","United States of America","Taoism Total","11134","0.0000"
"2000","United States of America","Confucianism Total","6959","0.0000"
"2000","United States of America","Jain Total","78497","0.0003"
"2000","United States of America","Syncretic Religions Total","541831","0.0019"
"2000","United States of America","Animist Religions Total","359813","0.0013"
"2000","United States of America","Non. Religious Total","44537120","0.1600"
"2000","United States of America","Other Religions Total","108892","0.0004"
"2000","United States of America","Sum of Religion Adherents","278248108","0.9996"
"2000","United States of America","Total Population","278357000","1.0000"
"2005","United States of America","Christianity Protestants","117527349","0.3972"
"2005","United States of America","Christianity Roman Catholics","76742245","0.2594"
"2005","United States of America","Christianity Eastern Orthodox","6800059","0.0230"
"2005","United States of America","Christianity Anglican","4733159","0.0160"
"2005","United States of America","Christianity Others","20661993","0.0698"
"2005","United States of America","Christianity Total","226464805","0.7654"
"2005","United States of America","Judaism Orthodox","979982","0.0033"
"2005","United States of America","Judaism Conservatives","1627767","0.0055"
"2005","United States of America","Judaism Reform","2270015","0.0077"
"2005","United States of America","Judaism Others","658858","0.0022"
"2005","United States of America","Judaism Total","5536622","0.0187"
"2005","United States of America","Islam Sunni","2363129","0.0080"
"2005","United States of America","Islam Shi’a","322245","0.0011"
"2005","United States of America","Islam Ibadhi","0","0.0000"
"2005","United States of America","Islam Nation of Islam","0","0.0000"
"2005","United States of America","Islam Alawite","0","0.0000"
"2005","United States of America","Islam Ahmadiyya","0","0.0000"
"2005","United States of America","Islam Other","0","0.0000"
"2005","United States of America","Islam Total","2685374","0.0091"
"2005","United States of America","Buddhism Mahayana","858297","0.0029"
"2005","United States of America","Buddhism Theravada","0","0.0000"
"2005","United States of America","Buddhism Other","2824397","0.0095"
"2005","United States of America","Buddhism Total","3682694","0.0124"
"2005","United States of America","Zoroastrian Total","1554443","0.0053"
"2005","United States of America","Hindu Total","1311442","0.0044"
"2005","United States of America","Sikh Total","269862","0.0009"
"2005","United States of America","Shinto Total","60560","0.0002"
"2005","United States of America","Baha’i Total","456767","0.0015"
"2005","United States of America","Taoism Total","11134","0.0000"
"2005","United States of America","Confucianism Total","79459","0.0003"
"2005","United States of America","Jain Total","86656","0.0003"
"2005","United States of America","Syncretic Religions Total","672506","0.0023"
"2005","United States of America","Animist Religions Total","1066695","0.0036"
"2005","United States of America","Non. Religious Total","51781800","0.1750"
"2005","United States of America","Other Religions Total","175181","0.0006"
"2005","United States of America","Sum of Religion Adherents","295720819","0.9994"
"2005","United States of America","Total Population","295896000","1.0000"
"2010","United States of America","Christianity Protestants","119755961","0.3829"
"2010","United States of America","Christianity Roman Catholics","78397889","0.2507"
"2010","United States of America","Christianity Eastern Orthodox","7036875","0.0225"
"2010","United States of America","Christianity Anglican","4847625","0.0155"
"2010","United States of America","Christianity Others","23072957","0.0738"
"2010","United States of America","Christianity Total","233111307","0.7454"
"2010","United States of America","Judaism Orthodox","1051778","0.0034"
"2010","United States of America","Judaism Conservatives","1747021","0.0056"
"2010","United States of America","Judaism Reform","2436322","0.0078"
"2010","United States of America","Judaism Others","707127","0.0023"
"2010","United States of America","Judaism Total","5942248","0.0190"
"2010","United States of America","Islam Sunni","2476980","0.0079"
"2010","United States of America","Islam Shi’a","337770","0.0011"
"2010","United States of America","Islam Ibadhi","0","0.0000"
"2010","United States of America","Islam Nation of Islam","0","0.0000"
"2010","United States of America","Islam Alawite","0","0.0000"
"2010","United States of America","Islam Ahmadiyya","0","0.0000"
"2010","United States of America","Islam Other","0","0.0000"
"2010","United States of America","Islam Total","2814750","0.0090"
"2010","United States of America","Buddhism Mahayana","908236","0.0029"
"2010","United States of America","Buddhism Theravada","0","0.0000"
"2010","United States of America","Buddhism Other","2502000","0.0080"
"2010","United States of America","Buddhism Total","3410236","0.0109"
"2010","United States of America","Zoroastrian Total","1644887","0.0053"
"2010","United States of America","Hindu Total","1797698","0.0057"
"2010","United States of America","Sikh Total","406908","0.0013"
"2010","United States of America","Shinto Total","156375","0.0005"
"2010","United States of America","Baha’i Total","482784","0.0015"
"2010","United States of America","Taoism Total","11768","0.0000"
"2010","United States of America","Confucianism Total","83984","0.0003"
"2010","United States of America","Jain Total","91591","0.0003"
"2010","United States of America","Syncretic Religions Total","803181","0.0026"
"2010","United States of America","Animist Religions Total","1773577","0.0057"
"2010","United States of America","Non. Religious Total","59422500","0.1900"
"2010","United States of America","Other Religions Total","796206","0.0025"
"2010","United States of America","Sum of Religion Adherents","311953794","0.9975"
"2010","United States of America","Total Population","312750000","1.0000"
"1945","Canada","Christianity Protestants","4002534","0.3478"
"1945","Canada","Christianity Roman Catholics","5038280","0.4379"
"1945","Canada","Christianity Eastern Orthodox","241370","0.0210"
"1945","Canada","Christianity Anglican","1137777","0.0989"
